number_of_sentences,number_of_words,average_negative_score,average_positive_score,number_of_negating_words,contains_bad,contains_worst,contains_stupid,contains_waste,contains_boring,contains_love,contains_wonderful,contains_best,contains_great,contains_superb,contains_beautiful,filename,sentiment
7,200,6.875,11.875,3,True,False,False,False,False,False,False,False,False,False,False,10181_3.txt,negative
10,139,3.75,2.5,1,False,False,False,True,True,False,False,False,False,False,False,10182_3.txt,negative
7,145,6.5,5.25,1,False,False,False,False,False,False,False,False,False,False,True,10183_1.txt,negative
8,139,6.0,4.0,1,False,False,False,False,False,True,False,False,False,False,False,10184_1.txt,negative
14,122,4.125,5.875,1,False,False,False,True,False,False,False,False,False,False,False,10185_4.txt,negative
9,201,6.0,5.875,0,True,True,False,False,False,False,False,False,False,False,False,10186_1.txt,negative
3,108,4.75,3.125,1,False,False,False,True,False,False,False,False,False,False,False,10187_3.txt,negative
17,302,9.75,10.125,5,False,False,False,False,False,False,False,False,False,False,False,10188_2.txt,negative
7,133,4.875,4.0,2,True,False,False,False,False,False,False,False,False,False,False,10189_4.txt,negative
13,232,10.875,12.125,2,True,False,False,False,True,False,False,False,False,False,False,1018_3.txt,negative
5,104,3.25,3.625,0,False,False,False,False,False,False,False,False,False,False,False,10190_1.txt,negative
4,68,1.875,2.25,1,False,False,False,False,False,False,False,False,True,False,False,10191_3.txt,negative
7,116,3.125,3.125,1,False,False,False,False,False,False,False,False,False,False,False,10192_2.txt,negative
11,246,10.875,7.875,2,False,False,False,False,False,False,False,False,True,False,False,10193_1.txt,negative
9,199,6.75,6.125,2,False,False,False,False,False,False,False,False,False,False,False,10194_3.txt,negative
9,133,4.125,4.375,4,False,False,False,False,False,False,False,False,False,False,False,10195_1.txt,negative
8,108,3.5,5.625,2,False,False,False,False,False,False,False,False,False,False,False,10196_1.txt,negative
26,388,19.125,15.875,6,True,False,False,True,False,False,False,False,False,False,False,10197_1.txt,negative
3,48,1.125,3.125,2,False,False,False,False,False,False,False,False,False,False,False,10198_4.txt,negative
6,48,2.75,2.0,0,True,False,True,True,False,False,False,False,False,False,False,10199_4.txt,negative
17,257,12.5,10.125,6,False,False,True,False,False,False,False,False,False,False,False,1019_1.txt,negative
18,226,7.5,14.75,8,True,True,False,False,True,False,False,False,False,False,False,101_1.txt,negative
4,54,2.75,3.625,3,True,False,False,False,False,False,False,False,False,False,False,10200_4.txt,negative
7,104,2.75,4.0,1,False,False,False,False,False,False,False,False,False,False,False,10201_3.txt,negative
18,344,10.5,15.875,9,True,False,False,False,False,False,False,False,True,False,False,10202_3.txt,negative
18,281,11.25,15.875,11,True,False,False,False,False,False,False,False,True,False,False,10203_2.txt,negative
10,159,5.25,5.375,3,False,False,False,True,False,False,False,False,True,False,False,10204_2.txt,negative
11,194,6.125,11.0,3,True,False,False,False,False,False,False,False,False,False,False,10205_2.txt,negative
14,218,6.125,7.5,2,False,False,False,False,False,False,False,False,False,False,False,10206_3.txt,negative
8,183,7.25,6.625,4,False,False,False,False,False,False,False,False,False,False,False,10207_2.txt,negative
11,249,12.125,10.625,4,True,False,False,False,False,False,False,False,False,False,False,10208_3.txt,negative
12,299,12.222000000000001,13.403,2,False,False,True,False,False,True,False,False,False,False,False,10209_3.txt,negative
35,486,18.625,17.75,6,True,False,True,True,False,False,False,True,False,False,False,1020_2.txt,negative
10,175,9.0,5.625,2,False,False,False,False,False,False,False,False,False,False,False,10210_3.txt,negative
7,154,5.125,9.0,3,True,False,False,False,False,False,False,False,False,False,False,10211_2.txt,negative
26,448,16.625,15.125,3,True,False,False,False,False,False,False,False,False,True,False,10212_1.txt,negative
11,220,8.0,5.875,5,True,False,False,False,False,False,False,False,False,False,False,10213_1.txt,negative
8,179,7.875,7.375,2,False,False,False,False,False,False,False,False,False,False,False,10214_4.txt,negative
9,208,9.875,9.375,5,False,False,False,False,True,False,False,False,False,False,False,10215_2.txt,negative
42,501,19.625,19.125,11,False,False,False,False,False,False,False,False,True,False,False,10216_3.txt,negative
3,59,1.75,4.25,1,False,True,False,False,False,False,False,False,False,False,False,10217_1.txt,negative
14,307,9.5,14.0,5,False,False,False,False,False,False,False,False,False,False,False,10218_3.txt,negative
17,403,18.875,23.25,5,False,False,False,False,False,True,False,False,False,False,False,10219_2.txt,negative
16,237,9.625,11.0,4,True,False,False,False,False,False,False,False,False,False,False,1021_1.txt,negative
11,167,6.25,5.25,2,False,False,False,False,True,False,False,False,False,False,False,10220_3.txt,negative
19,1012,33.75,32.125,12,False,False,False,False,False,True,False,False,False,False,False,10221_3.txt,negative
13,176,7.125,6.875,3,False,False,False,False,True,False,False,False,True,False,False,10222_4.txt,negative
17,162,6.75,5.0,3,False,False,False,False,False,True,False,False,True,False,False,10223_4.txt,negative
14,176,7.25,3.125,2,False,False,False,False,False,False,False,False,False,False,False,10224_4.txt,negative
27,395,14.625,15.0,4,True,False,False,False,False,False,False,False,True,False,False,10225_3.txt,negative
10,169,8.25,10.0,10,True,False,False,True,False,False,False,False,True,False,False,10226_3.txt,negative
22,390,12.875,11.375,3,False,False,True,True,False,False,False,False,False,False,False,10227_1.txt,negative
4,172,8.75,7.75,3,True,False,False,False,False,False,False,False,False,False,False,10228_3.txt,negative
7,123,4.75,4.125,1,True,False,False,False,False,False,False,False,False,False,False,10229_3.txt,negative
13,189,8.5,7.125,2,True,False,False,True,False,False,False,False,False,False,False,1022_1.txt,negative
11,116,3.125,5.125,2,True,False,False,False,False,False,False,False,False,False,False,10230_1.txt,negative
8,143,4.4719999999999995,5.9030000000000005,2,False,False,False,False,False,False,False,True,False,False,False,10231_1.txt,negative
5,124,3.75,6.0,3,True,False,False,False,False,False,False,False,False,False,False,10232_1.txt,negative
11,182,6.75,7.5,3,True,False,False,False,True,True,False,False,False,False,False,10233_1.txt,negative
10,136,3.375,5.875,4,True,False,False,False,False,False,False,False,False,False,False,10234_1.txt,negative
5,124,6.0,5.5,1,False,False,False,False,False,False,False,False,False,False,False,10235_2.txt,negative
17,320,15.75,12.25,3,True,True,False,False,False,False,False,True,False,False,False,10236_1.txt,negative
28,690,26.625,22.625,5,False,False,False,True,False,False,False,True,True,False,False,10237_2.txt,negative
7,125,9.0,5.875,4,True,False,False,False,False,False,False,False,False,False,False,10238_4.txt,negative
7,106,3.625,3.625,0,False,False,False,False,False,False,False,True,False,False,False,10239_3.txt,negative
26,461,17.875,20.625,6,False,False,False,False,False,True,False,True,True,False,False,1023_3.txt,negative
28,431,14.222000000000001,24.403,15,False,False,False,False,False,True,False,True,False,True,False,10240_1.txt,negative
9,143,8.75,8.25,3,True,False,False,False,True,False,False,False,False,False,False,10241_1.txt,negative
23,326,8.625,5.5,3,False,False,False,False,True,False,False,False,False,False,False,10242_3.txt,negative
11,140,5.125,4.25,3,False,False,False,True,False,False,False,False,False,False,False,10243_1.txt,negative
9,176,5.125,6.0,4,False,False,False,False,False,False,False,False,False,False,False,10244_2.txt,negative
10,137,2.875,2.875,1,False,True,False,True,True,False,False,False,False,False,False,10245_3.txt,negative
19,274,10.25,7.75,4,False,False,True,False,True,False,False,True,False,False,False,10246_2.txt,negative
4,75,1.75,1.625,0,True,False,False,False,True,False,False,False,False,False,False,10247_2.txt,negative
14,220,10.375,4.5,2,True,False,False,False,False,False,False,False,False,False,False,10248_1.txt,negative
12,196,6.5,4.375,2,True,False,False,False,False,False,False,False,False,False,False,10249_1.txt,negative
12,229,6.5,7.375,2,True,False,False,False,False,False,False,True,True,False,False,1024_1.txt,negative
2,72,2.125,5.0,1,False,False,False,False,False,False,False,False,False,False,False,10250_3.txt,negative
13,129,5.875,7.0,3,True,False,False,False,False,False,False,False,False,False,False,10251_3.txt,negative
9,152,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,10252_3.txt,negative
7,60,3.0,3.25,1,False,False,False,False,False,True,False,False,False,False,False,10253_1.txt,negative
31,536,14.375,14.25,5,True,True,False,False,False,False,False,False,False,False,False,10254_1.txt,negative
21,354,8.5,9.25,2,False,False,False,False,False,False,False,False,False,False,False,10255_1.txt,negative
10,144,6.875,9.375,3,False,False,False,False,False,False,False,False,False,False,False,10256_3.txt,negative
9,234,4.5,5.5,4,False,False,False,False,True,False,False,False,True,False,False,10257_1.txt,negative
9,169,6.0,6.625,2,True,False,False,False,False,False,False,False,True,False,False,10258_4.txt,negative
5,132,4.875,6.125,2,True,False,False,False,False,False,False,False,True,False,False,10259_1.txt,negative
12,157,8.75,5.875,4,True,False,False,False,False,False,False,False,True,False,False,1025_2.txt,negative
8,71,1.125,3.625,2,True,False,False,True,False,False,False,False,False,False,False,10260_1.txt,negative
24,277,11.125,11.75,7,True,False,False,False,False,False,False,False,False,False,False,10261_1.txt,negative
11,297,5.5,7.25,5,False,False,False,False,False,False,False,False,False,False,False,10262_1.txt,negative
